id,title,genres,description,release_date,vote_average,vote_count
1197306,A Working Man,"28, 80, 53","Levon Cade est un criminel repenti. Aujourd'hui, il travaille dans le bâtiment. Bientôt, la fille de son patron, Jenny, disparaît, il est appelé à réutiliser les compétences qui ont fait de lui une figure légendaire dans le monde des opérations secrètes.",2025-03-26,6.27,304
324544,In the Lost Lands,"14, 12, 28","Une reine rêve d'obtenir le don de métamorphose. Elle engage la sorcière Gray Alys, une femme aussi redoutée que puissante. Envoyés dans les Terres perdues, Alys et son guide, le vagabond Boyce, doivent déjouer et combattre l'homme et le démon dans une fable qui explore la nature du bien et du mal, de la dette et de l'accomplissement, de l'amour et de la perte.",2025-02-27,6.277,229
950387,"Minecraft, le film","10751, 35, 12, 14","Bienvenue dans l’univers de Minecraft où la créativité est essentielle à la survie ! Quatre outsiders – Garrett, Henry, Natalie et Dawn – sont soudainement projetés à travers un mystérieux portail menant à L'Overworld – un incroyable monde cubique qui prospère grâce à l’imagination. Pour rentrer chez eux, il leur faudra maîtriser ce monde (et le protéger de créatures maléfiques comme les Piglins et les Zombies), tout en s’engageant dans une quête fantastique aux côtés de Steve, expert fabricateur. Cette aventure les invitera à faire preuve d’audace et à développer leurs qualités singulières de créativité. Autant de facultés dont ils auront besoin pour s’épanouir dans le monde réel.",2025-03-31,6.1,620
1045938,G20,"28, 9648, 18","Lorsque le sommet du G20 est pris d'assaut, la présidente des États-Unis Danielle Sutton devient la cible numéro un. Après avoir échappé à la capture du groupe d'assaillants, elle devra se montrer plus rusée que l'ennemi si elle veut sauver sa famille, défendre son pays et protéger les chefs d'État du monde entier dans ce film rempli d'action et de suspense.",2025-04-09,6.577,281
1195506,Novocaine,"28, 35, 53","Aux prises avec une condition médicale très rare qui le rend insensible à la douleur, Nathan Caine mène une existence ultra-protégée. Assistant gérant dans une banque de San Diego, le timide jeune homme croit rêver lorsque la séduisante caissière Sherry lui propose un rendez-vous et termine la nuit dans son lit. Mais le lendemain, tout se bouscule. Trois cambrioleurs déguisés en Père Noël font irruption dans la banque, s'emparent de milliers de dollars, tuent froidement le gérant et décampent en prenant Sherry en otage. N'écoutant que son courage, Nathan s'élance à sa rescousse, pourchassé par deux flics qui le prennent à tort pour un complice des voleurs.",2025-03-12,6.862,483
1293286,Gunslingers,"37, 28","Lorsque l'homme le plus recherché d'Amérique refait surface dans une petite ville du Kentucky, son passé violent – ​​et une foule sanguinaire en quête de vengeance et d'une rançon royale – ne tardent pas à suivre. Tandis que des frères s'affrontent et que les balles déchirent la ville, ce tireur d'élite rapide comme l'éclair fait payer à ses ennemis le prix fort de leur cupidité.",2025-04-11,6.8,26
822119,Captain America : Brave New World,"28, 53, 878","Après avoir rencontré le président américain nouvellement élu Thaddeus Ross, Sam se retrouve au milieu d’un incident international. Il doit découvrir la raison derrière un complot mondial infâme avant que le véritable cerveau de l’opération ne fasse voir rouge au monde entier.",2025-02-12,6.151,1458
1244944,The Woman in the Yard,"27, 9648","Ramona, une femme rongée par le chagrin qui a survécu à l'accident de voiture qui a été fatal à son mari, doit s'occuper de son fils et de sa fille, seule dans leur propriété rurale. Un jour, une femme prend forme dans leur jardin. Ramona pense que cette femme erre et a perdu la raison, mais alors que la femme rôde de plus en plus près de la maison, il devient évident qu'elle n'est pas une personne ordinaire et que ses intentions sont loin d'être bienveillantes.",2025-03-27,6.228,57
1312833,A Knight's War,"27, 28, 14",,2025-02-07,5.0,12
1353117,Home Sweet Home: Rebirth,"27, 14, 53, 9648, 28","Le policier Jake est propulsé dans un royaume alternatif appelé ""The Hindrance"" lors d'une fusillade meurtrière dans un centre commercial. Avec l'aide d'un mystérieux moine novice, Jake se lance dans une course contre-la-montre pour sauver sa femme, Prang, et empêcher un sorcier maléfique, Mek, d'ouvrir les portes de l'enfer.",2025-03-20,6.8,33
1125899,Cleaner,"28, 53","Lors d'un gala d'entreprise très médiatisé, un groupe de terroristes lourdement armés prend le contrôle de 300 otages. À leur insu, une laveuse de vitres solitaire est témoin du crime en cours et, en fin de compte, c'est une ancienne soldat, douée pour le combat au corps à corps et les armes à feu.",2025-02-19,6.539,216
1241982,Vaiana 2,"16, 12, 10751, 35","Après avoir reçu une invitation inattendue de ses ancêtres, Vaiana entreprend un périple qui la conduira jusqu’aux eaux dangereuses situées aux confins des mers des îles du Pacifique. Elle y vivra des péripéties comme jamais vécues auparavant.",2024-11-21,7.087,2223
762509,Mufasa : Le Roi Lion,"12, 10751, 16","Suivez l'épopée de l'improbable ascension du roi bien-aimé de la Terre des Lions. Mufasa est un orphelin seul et perdu jusqu'à ce qu'il rencontre Taka, héritier de sang royal. C'est le début d'un voyage épique au cours duquel ils tenteront d'échapper à un ennemi redoutable, ce qui mettra leurs liens à rude épreuve.",2024-12-18,7.425,1977
1229730,Carjackers,"28, 12","Le jour, ils sont invisibles: voituriers, hôtesses, barmen dans des palaces. La nuit, ils deviennent les Carjackers, des pilotes hors pair qui dépouillent les clients fortunés sur la route. Alors qu’ils préparent leur ultime braquage, une directrice d’hôtel engage Elias, tueur à gages impitoyable, pour les arrêter. Face au danger, Nora, Zoé, Steve et Prestance réussiront-ils leur dernier coup?",2025-03-27,6.207,140
939243,"Sonic 3, le film","28, 878, 35, 10751, 12, 14","Sonic, Knuckles et Tails sont à nouveau réunis face à un puissant nouvel adversaire, Shadow, un mystérieux vilain doté de pouvoirs comme ils n'en ont encore jamais vu. Leurs habiletés étant toutes surclassées, l'Équipe Sonic doit tenter une alliance improbable dans l'espoir d'arrêter Shadow et de protéger la planète.",2024-12-19,7.733,2428
696506,Mickey 17,"878, 35, 12","En 2054, afin de fuir son cruel créancier, le naïf Mickey se porte volontaire pour une mission de colonisation sur Niflheim, une planète de glace. Devenu sans trop le savoir un ouvrier ""consommable"", il est régénéré chaque fois qu'il meurt lors des missions les plus dangereuses imposées par l'ex-sénateur Kenneth Marshall, dirigeant mégalomane de la colonie. Après quatre ans, Mickey en est à sa 17e incarnation. Grièvement blessé, il est laissé pour mort par son coéquipier au fond d'une crevasse. Mais contre toute attente, il est sauvé par la mère des créatures qui habitent Niflheim. Pendant son absence, un Mickey 18 est créé.",2025-02-28,6.9,1581
1195585,The Hard Hit,"28, 53, 80",,2023-10-20,7.0,16
1373723,The Codes of War,"28, 10752",,2025-03-20,6.263,57
1195430,DEVA,"28, 53, 9648, 80","Dev Ambre (Shahid Kapoor) est un policier dur et impulsif de la police de Mumbai, craint pour sa brutalité et réticent à recevoir des ordres. Au plus fort d'une enquête sur le meurtre d'un collègue officier, il est victime d'un grave accident de voiture et perd la mémoire. Sans savoir qui il est réellement — ni même l’issue de l’enquête qu’il a lui-même menée —, Dev commence à reconstituer l’affaire, guidé uniquement par son intuition et les cicatrices du passé qui hantent encore son présent. Ce faisant, il se retrouve confronté à des vérités troublantes sur l’entreprise, ses amis et lui-même.",2025-01-31,6.036,42
1252309,Pídeme lo que quieras,"10749, 18",,2024-11-29,5.934,145
